id,name,bday,location,final,p
434,Brad Pitt,1963-12-18,"Shawnee, Oklahoma",upload.wikimedia.org/wikipedia/commons/thumb/5/51/Brad_Pitt_Fury_2014.jpg/330px-Brad_Pitt_Fury_2014.jpg,"William Bradley Pitt (born December 18, 1963) is an American actor and film producer. He has received multiple awards and nominations including an Academy Award as producer under his own company Plan B Entertainment."
435,Anushka Sharma,1988-05-01,Ayodhya,upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Anushka_Sharma_promoting_Zero.jpg/330px-Anushka_Sharma_promoting_Zero.jpg,"Anushka Sharma (pronounced [əˈnʊʂkaː ˈʃərmaː]; born 1 May 1988) is an Indian actress and film producer who works in Hindi films. One of the most popular and highest-paid actresses in India, she has received several awards, including a Filmfare Award, and was featured by Forbes Asia in their 30 Under 30 list of 2018."
436,Fred MacMurray,1908-08-30,"Kankakee, Illinois",upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Fred_MacMurray_-_publicity.JPG/330px-Fred_MacMurray_-_publicity.JPG,"MacMurray is best known for his role in the 1944 film noir Double Indemnity directed by Billy Wilder, in which he starred with Barbara Stanwyck and Edward G. Robinson. Later in his career, he performed in numerous Disney films, including The Absent-Minded Professor, The Happiest Millionaire, and The Shaggy Dog.  In 1960, MacMurray turned to television in the role of Steve Douglas, the widowed patriarch on My Three Sons, which ran on ABC from 1960 to 1965 and then on CBS from 1965 to 1972."
437,Joel Coen,1954-11-29,"St. Louis Park, Minnesota",upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Coen_brothers_Cannes_2015_2_%28CROPPED%29.jpg/330px-Coen_brothers_Cannes_2015_2_%28CROPPED%29.jpg,"Joel Coen (born November 29, 1954) and Ethan Coen (born September 21, 1957),[1][1] collectively referred to as the Coen brothers, are American filmmakers. Their films span many genres and styles, which they frequently subvert or parody.[2] Their most acclaimed works include Miller's Crossing (1990), Barton Fink (1991), Fargo (1996), The Big Lebowski (1998), No Country for Old Men (2007), True Grit (2010), and Inside Llewyn Davis (2013)."
438,Albert Brooks,1947-07-22,"Beverly Hills, California",upload.wikimedia.org/wikipedia/commons/thumb/5/52/Albert_Brooks_at_%27Drive%27_premiere_TIFF_9.10.11.jpg/330px-Albert_Brooks_at_%27Drive%27_premiere_TIFF_9.10.11.jpg,"Albert Lawrence Brooks (born Albert Lawrence Einstein; July 22, 1947) is an American actor, comedian, writer, and director. He received an Academy Award nomination for Best Supporting Actor for 1987's Broadcast News and was widely praised for his performance in the 2011 film Drive.[1] His voice acting credits include, Marlin in Finding Nemo (2003) and Finding Dory (2016), and recurring guest voices for The Simpsons, including Russ Cargill in The Simpsons Movie (2007) and Hank Scorpio."
439,Danny Denzongpa,1948-02-25,,upload.wikimedia.org/wikipedia/commons/4/42/DannyDenzongpa01.jpg,"Danny Denzongpa (born Tshering Phintso Denzongpa; 25 February 1948) is an Indian film actor, singer and film director of Sikkimese-Bhutia descent. He has mainly worked in Bollywood films, though he has also appeared in several Nepali, Tamil, Bengali and Telugu films.[2] He has acted in about 190 Hindi films since 1971. In 2003, Denzongpa was awarded the Padma Shree, India's fourth-highest civilian honour.[3] His film career spans more than 4 decades."
440,Shay Hatten,1948-02-25,,upload.wikimedia.org/wikipedia/commons/4/42/DannyDenzongpa01.jpg,
441,Satyajit Ray,1921-05-02,Calcutta,upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Satyajit_Ray_in_New_York_%28cropped%29.jpg/330px-Satyajit_Ray_in_New_York_%28cropped%29.jpg,"Satyajit Ray  (Bengali pronunciation: [ˈʃɔtːodʒit ˈrai̯] (listen); 2 May 1921 – 23 April 1992) was an Indian filmmaker, screenwriter, music composer, graphic artist, lyricist and author, widely regarded as one of the greatest filmmakers of the 20th century.[2][3][4] Ray was born in Calcutta into a Bengali Kayastha family which was prominent in the field of arts and literature. Starting his career as a commercial artist, Ray was drawn into independent filmmaking after meeting French filmmaker Jean Renoir and viewing Vittorio De Sica's Italian neorealist film Bicycle Thieves (1948) during a visit to London."
442,Roy Scheider,1932-11-10,"Orange, New Jersey",upload.wikimedia.org/wikipedia/commons/3/33/Roy_Scheider_2007.jpg,"Scheider gained fame for his leading and supporting roles in several iconic films from the 1970s, playing NYPD Detective Buddy ""Cloudy"" Russo in The French Connection (1971); NYPD Detective Buddy Manucci in The Seven Ups (1973); Police Chief Martin Brody in Jaws (1975) and Jaws 2 (1978); Doc in Marathon Man (1976); choreographer and film director Joe Gideon (whose character was based on Bob Fosse) in All That Jazz (which was written and directed by Fosse) (1979); and Dr. Heywood R. Floyd in the 1984 film 2010, the sequel to 2001: A Space Odyssey."
443,Pete Docter,1968-10-09,,upload.wikimedia.org/wikipedia/commons/thumb/5/56/Pete_Docter_Cannes_2015.jpg/330px-Pete_Docter_Cannes_2015.jpg,"Peter Hans Docter (born October 9, 1968) is an American animator, film director, screenwriter, producer, voice actor and chief creative officer of Pixar.[2][3] He is best known for directing the animated feature films Monsters, Inc. (2001), Up (2009) and Inside Out (2015) and as a key figure and collaborator at Pixar. He has been nominated for eight Oscars (two wins thus far for Up and Inside Out – Best Animated Feature), seven Annie Awards (winning five), a BAFTA Children's Film Award (which he won) and a Hochi Film Award (which he won).[4] He has described himself as a ""geeky kid from Minnesota who likes to draw cartoons"".[3]"
444,Rutger Hauer,1944-01-23,Breukelen,upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Rutger_Hauer_%282018%29.jpg/330px-Rutger_Hauer_%282018%29.jpg,"Rutger Oelsen Hauer (Dutch: [ˈrɵtxər ˈulsə(n) ˈɦʌuər]; born 23 January 1944) is a Dutch actor, writer, and environmentalist. He has acted in both Dutch and English-language TV series and films."
445,Gary Lockwood,,associating this request,,"He is known for his roles as astronaut Frank Poole in the film 2001: A Space Odyssey (1968),[5] and as Lieutenant Commander Gary Mitchell in the Star Trek pilot episode ""Where No Man Has Gone Before"" (1966). He played numerous guest television roles from the early 1960s into the mid 1990s, a regular supporting role in Follow the Sun (1961–1962), and the title role of The Lieutenant (1963–1964)."
446,Mary McDonnell,,,,"Mary Eileen McDonnell (born April 28, 1952) is an American film, stage, and television actress. She received Academy Award nominations for her roles as Stands With A Fist in Dances with Wolves and May-Alice Culhane in Passion Fish. McDonnell is well known for her performances as President Laura Roslin in Battlestar Galactica, First Lady Marilyn Whitmore in Independence Day, and Rose in Donnie Darko. She was featured as Captain Sharon Raydor during seasons 5–7 of the TNT series The Closer and starred as Commander Sharon Raydor in the spin-off series Major Crimes on the same network."
447,Terence Winter,,Brooklyn Rules,,"Winter was born in New York City. He grew up in a working-class family in Marine Park, Brooklyn.[3][4] He attended New York University in New York City, where he received a bachelor's degree. He went on to attend St. John's University School of Law, and became a member of the bars of New York State and Connecticut. He practiced law for two years in New York City before moving to Los Angeles in 1991 to pursue a screenwriting career. He eventually won a spot in the Warner Bros. Sitcom Writers Workshop, and later joined the writing staff of the Fox series The Great Defender, starring Michael Rispoli, later a Sopranos cast member."
448,Paulo Lins,,,,"Lins grew up in Rio de Janeiro and at the age of seven moved to the Cidade de Deus favela. He escaped the cycle of violence to become a successful writer. 
He published his novel City of God in 1997, which was adapted into the 2002 film City of God.[2]"
449,Anurag Basu,1970-05-08,Bhilai,upload.wikimedia.org/wikipedia/commons/thumb/2/28/Anurag_Basu.jpg/330px-Anurag_Basu.jpg,"Anurag Basu  is an Indian reality show-judge, director, actor, screenwriter and producer. He began his directing career in television, moving to feature films in 2002. Basu achieved initial success with his films tackling the themes of passion and adultery[1] such as Life in a... Metro, Kites, Gangster and Murder. Later, he directed comedy-drama films such as the critically acclaimed and commercially successful Barfi!"
450,Roderick Thorp,,"Oxnard, California",,"Roderick Mayne Thorp, Jr. (September 1, 1936 – April 28, 1999) was an American novelist specializing mainly in police procedural/crime novels. His 1966 novel The Detective was made into a 1968 film of the same name, starring Frank Sinatra as Detective Joe Leland. He is however better known for its sequel, the bestselling novel Nothing Lasts Forever, which is the basis for the film Die Hard, starring Bruce Willis. Two other Thorp novels, Rainbow Drive and Devlin, were adapted into TV movies."
451,Tom Hanks,1956-07-09,"Concord, California",upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Tom_Hanks_2016.jpg/330px-Tom_Hanks_2016.jpg,"Thomas Jeffrey Hanks (born July 9, 1956) is an American actor and filmmaker. Hanks is known for his comedic and dramatic roles in such films as Splash (1984), Big (1988), Turner & Hooch (1989), A League of Their Own (1992), Sleepless in Seattle (1993), Apollo 13 (1995), You've Got Mail (1998), The Green Mile (1999), Cast Away (2000), Road to Perdition (2002), Cloud Atlas (2012), Captain Phillips (2013), Saving Mr. Banks (2013), and Sully (2016). He has also starred in the Robert Langdon film series, and voices Sheriff Woody in the Toy Story film series. He is one of the most popular and recognizable film stars worldwide, and is widely regarded as an American cultural icon."
452,Henry Gayden,1956-07-09,"Concord, California",upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Tom_Hanks_2016.jpg/330px-Tom_Hanks_2016.jpg,
453,Melissa Benoist,1988-10-04,Houston,upload.wikimedia.org/wikipedia/commons/thumb/f/f5/SDCC_2017_-_Jeremy_Jordan%2C_Melissa_Benoist_and_David_Harewood_01_%28cropped2%29.jpg/330px-SDCC_2017_-_Jeremy_Jordan%2C_Melissa_Benoist_and_David_Harewood_01_%28cropped2%29.jpg,"Melissa Marie Benoist (/bəˈnɔɪst/; French: [bənwa]; born October 4, 1988)[2][3][4] is an American actress, singer, dancer and activist. She has performed on stage and in television and film. She is known for her portrayal of the titular character in the CBS/CW DC Comics–based superhero drama series Supergirl (2015–present)."
454,Bhrigu Brinda,1988-10-04,Houston,upload.wikimedia.org/wikipedia/commons/thumb/f/f5/SDCC_2017_-_Jeremy_Jordan%2C_Melissa_Benoist_and_David_Harewood_01_%28cropped2%29.jpg/330px-SDCC_2017_-_Jeremy_Jordan%2C_Melissa_Benoist_and_David_Harewood_01_%28cropped2%29.jpg,
455,John McTiernan,1951-01-08,"Albany, New York",upload.wikimedia.org/wikipedia/commons/thumb/b/b2/John_McTiernan_Deauville_2014_3.jpg/330px-John_McTiernan_Deauville_2014_3.jpg,"John Campbell McTiernan Jr. (born January 8, 1951) is an  American filmmaker. He is best known for his action films, especially Predator (1987), Die Hard (1988), and The Hunt for Red October (1990).[2][3] His later well-known films include the action-comedy-fantasy film Last Action Hero (1993), the action film sequel Die Hard with a Vengeance (1995), and the heist film-remake The Thomas Crown Affair (1999). His last completed feature film was the mystery-thriller Basic, released in 2003."
456,Burt Lancaster,1913-11-02,"Manhattan, New York",upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Burt_Lancaster_-_publicity_1947.JPG/330px-Burt_Lancaster_-_publicity_1947.JPG,"Burton Stephen Lancaster (November 2, 1913 – October 20, 1994) was an American actor and producer. Initially known for playing ""tough guys"", he went on to achieve success with more complex and challenging roles. He was nominated four times for Academy Awards, and won once for his work in Elmer Gantry in 1960. He also won a Golden Globe Award for that performance and BAFTA Awards for Birdman of Alcatraz (1962) and Atlantic City (1980)."
457,Jim Caviezel,1968-09-26,"Mount Vernon, Washington",upload.wikimedia.org/wikipedia/commons/thumb/4/4e/James_Caviezel3.jpg/330px-James_Caviezel3.jpg,"Caviezel was born in Mount Vernon, Washington, the son of Margaret (née Lavery), a former stage actress and homemaker, and James Caviezel, a chiropractor.[3][4] He has a younger brother, Timothy, and three sisters, Ann, Amy, and Erin. He was raised in a tightly knit Catholic family in Conway, Washington.[5][6] His surname is Romansh. His father is of Slovak and Swiss descent, while his mother is Irish.[7][8] His father attended UCLA and played basketball for coach John Wooden, prompting all the Caviezel siblings to play the sport.[9]"
458,Sidney Howard,,"Oakland, California",upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Sidney_Coe_Howard_1909.jpg/330px-Sidney_Coe_Howard_1909.jpg,"Sidney Coe Howard (June 26, 1891 – August 23, 1939) was an American playwright, dramatist and screenwriter. He received the Pulitzer Prize for Drama in 1925 and a posthumous Academy Award in 1940 for the screenplay for Gone with the Wind."
459,Laura Dern,1967-02-10,Los Angeles,upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Laura_Dern_Deauville_2017.jpg/330px-Laura_Dern_Deauville_2017.jpg,"Laura Elizabeth Dern (born February 10, 1967)[1][2][3] is an American actress. She is the recipient of numerous accolades, including four Golden Globe Awards and a Primetime Emmy Award, and has been nominated for two Academy Awards."
460,Sidney Buchman,,,,"Sidney Robert Buchman (March 27, 1902 – August 23, 1975) was an American screenwriter and producer who worked on about 40 films from the late 1920s to the early 1970s. He received four Oscar nominations and won once for Best Screenplay for fantasy romantic comedy film Here Comes Mr. Jordan (1941) along with Seton I. Miller."
461,Kanu Bannerjee,,,,
462,Advait Chandan,1987-01-26,Indian,,"In 2007, Advait started his career with Reema Kagti's Honeymoon Travels Pvt. Ltd. as the third assistant director and Taare Zameen Par as the assistant production manager. Collaborating with Aamir Khan again, Advait worked as the casting director and post-production supervisor on Kiran Rao's debut venture Dhobi Ghat."
463,Pan Nalin,,,,"Nalin Kumar Pandya or Pan Nalin is an Indian filmmaker. Nalin is best known for directing award-winning films like Samsara, Valley of Flowers, and Ayurveda: Art of Being. His debut film, Samsara went on to win awards like ""Grand Jury Prize – Special Mention"" at AFI Fest and ""Most Popular Feature Film"" at Melbourne International Film Festival in 2002."
464,Eric Pearson,,,,He studied screenwriting at New York University's Tisch School of the Arts. He was enrolled in Marvel Studios' screenwriting program in 2010.[3]
465,Marcel Ruiz,2000-10-26,,,"A product of the youth Querétaro team, he would make his senior debut in Liga MX on 21 July 2018 against Atlas, coming in at the 86th minute for Erbín Trejo, finishing the game in a 0–0 tie. On 22 August 2018, he would score his first goal for the team, winning the game against Club Universidad Nacional 1–0, becoming the youngest scorer of the season at the age of 17.[2] On 31 August 2018, he contributed two assists for Camilo Sanvezzo to score the first two goals against Morelia, winning 4–1.[3]"
466,Tyrone Power,1914-05-05,Cincinnati,upload.wikimedia.org/wikipedia/commons/thumb/7/73/Tyrone_Power_-_still.jpg/330px-Tyrone_Power_-_still.jpg,"Though largely a matinee idol in the 1930s and early 1940s and known for his striking looks, Power starred in films in a number of genres, from drama to light comedy. In the 1950s he began placing limits on the number of films he would make in order to devote more time for theater productions. He received his biggest accolades as a stage actor in John Brown's Body and Mister Roberts. Power died from a heart attack at the age of 44.[5][6]"
467,Jim Uhls,1957-03-25,,,"James Walter Uhls (born March 25, 1957) is an American screenwriter and producer who rose to fame with his script adaptation of the critically acclaimed novel Fight Club. He earned a bachelor of theatre arts degree from Drake University in 1979, and also graduated from the UCLA Theater Program.[1] Currently he is intended to write a screenplay for Trent Reznor's Year Zero-based HBO mini-series."
468,Winston Duke,1986-11-15,Argyle,upload.wikimedia.org/wikipedia/commons/thumb/0/03/Winston_Duke_by_Gage_Skidmore.jpg/330px-Winston_Duke_by_Gage_Skidmore.jpg,"Duke was born in Tobago[2] and moved to the U.S. with his mother, Cora Pantin,[3] and sister when he was nine years old. He graduated from Brighton High School in Rochester, New York in 2004.[4] He attended University at Buffalo, receiving a Bachelor of Arts in Theatre, and moved on to Yale School of Drama where he received a Master of Fine Arts (MFA) in Acting, graduating 2013.[5]"
469,Adele Lim,,,,Lim was born in Malaysia. [1] Lim is of Malaysian Chinese descent. [2]. She attended Malaysia's  Sri Aman Girls School.
470,Ramya Krishnan,1970-09-15,,upload.wikimedia.org/wikipedia/commons/thumb/4/42/Ramya_Krishnan.jpg/330px-Ramya_Krishnan.jpg,"Ramya Krishnan (born 15 September 1970),[1] is an Indian film actress. She has acted in over 200 films in five languages: Telugu, Tamil, Kannada, Malayalam and Hindi. Ramya has won four Filmfare Awards, three Nandi Awards and a Tamil Nadu State Film Award."
471,A.N. Balakrishnan,1970-09-15,,upload.wikimedia.org/wikipedia/commons/thumb/4/42/Ramya_Krishnan.jpg/330px-Ramya_Krishnan.jpg,
472,Aparna Gopinath,,Chennai,upload.wikimedia.org/wikipedia/commons/thumb/9/93/Aparna-gopinath_.jpg/405px-Aparna-gopinath_.jpg,Aparna Gopinath is an Indian actress of film actress and theatre artist. She debuted in the Malayalam film ABCD: American-Born Confused Desi opposite to Dulquer Salmaan.
473,Frances McDormand,1957-06-23,Gibson City,upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Frances_McDormand_2015_%28cropped%29.jpg/330px-Frances_McDormand_2015_%28cropped%29.jpg,"Frances Louise McDormand (born Cynthia Ann Smith, June 23, 1957) is an American actress. She is the recipient of numerous accolades, including two Academy Awards, two Primetime Emmy Awards, and a Tony Award, making her one of the few performers to achieve the Triple Crown of Acting."
474,J.C. Chandor,1973-11-24,College of Wooster,,"Chandor grew up in the Basking Ridge section of Bernards Township, New Jersey.[3] He is the son of Mary (McDonald) and Jeff Chandor, an investment banker.[4][5] After graduating in 1992 from Ridge High School in Bernards Township,[6] he received his bachelor's degree in 1996 from The College of Wooster.[7][8] During the 15 years leading up to Margin Call, Chandor directed commercials.[9]"
475,Farhan Akhtar,1974-01-09,,upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Farhan_Akhtar_at_Times_Litfest_2016%2C_New_Delhi_01.jpg/330px-Farhan_Akhtar_at_Times_Litfest_2016%2C_New_Delhi_01.jpg,"Farhan Akhtar (born 9 January 1974) is an Indian film director, screenwriter, actor, playback singer, producer, and television host. Born in Mumbai to screenwriters Javed Akhtar and Honey Irani, he grew up under the influence of the Hindi film industry. He began his career in Bollywood by working as an assistant director in Lamhe (1991) and Himalay Putra (1997)."
476,Alisa Freyndlikh,1974-01-09,,upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Farhan_Akhtar_at_Times_Litfest_2016%2C_New_Delhi_01.jpg/330px-Farhan_Akhtar_at_Times_Litfest_2016%2C_New_Delhi_01.jpg,
477,Abhishek Reddy,1994-09-14,Bidar,,Abhishek Reddy (born 14 September 1994) is an Indian first-class cricketer who plays for Karnataka.[1]
478,Eric Roth,1945-03-22,"Malibu, California",,"Eric R. Roth (born March 22, 1945) is an American screenwriter. He has been nominated five times for the Academy Award for Best Adapted Screenplay for Forrest Gump (1994), The Insider (1999), Munich (2005), The Curious Case of Benjamin Button (2008), and A Star Is Born (2018), winning for Forrest Gump. He also wrote the screenplay for the Oscar-nominated film Extremely Loud & Incredibly Close (2011)."
479,Brian Helgeland,1961-01-17,University of Massachusetts Dartmouth,,"Helgeland also wrote and directed 42 (2013), a biopic of Jackie Robinson, and Legend (2015), about the rise and fall of the infamous London gangsters, the Kray twins."
480,Sheetal Menon,,My Name Is Khan,,Sheetal Menon is an Indian model and actress. Her origin is Kerala and Mangalore.
481,Milos Forman,1932-02-18,Čáslav,upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Milos_Forman.jpg/375px-Milos_Forman.jpg,"Jan Tomáš ""Miloš"" Forman (/ˈmiːloʊʃ/;[1] Czech: [ˈmɪloʃ ˈforman]; 18 February 1932 – 13 April 2018) was a Czech American film director, screenwriter, actor and professor who, until 1968, lived and worked primarily in the former Czechoslovakia."
482,James Garner,1928-04-07,"Norman, Oklahoma",upload.wikimedia.org/wikipedia/commons/thumb/d/dc/James_Garner_Bret_Maverick.JPG/330px-James_Garner_Bret_Maverick.JPG,"James Garner (born James Scott Bumgarner; April 7, 1928 – July 19, 2014) was an American actor, producer, and voice artist. He starred in several television series over more than five decades, including such popular roles as Bret Maverick in the 1950s western series Maverick and Jim Rockford in The Rockford Files,[2] and played leading roles in more than 50 theatrical films, including The Great Escape (1963) with Steve McQueen, Paddy Chayefsky's The Americanization of Emily (1964), Grand Prix (1966), Blake Edwards' Victor/Victoria (1982), Murphy's Romance (1985), for which he received an Academy Award nomination, Space Cowboys (2000) with Clint Eastwood, and The Notebook (2004)."
483,Octavia Spencer,1972-05-25,"Montgomery, Alabama",upload.wikimedia.org/wikipedia/commons/thumb/1/1e/%22Hidden_Figures%22_Screening_at_the_White_House_%28NHQ201612150008%29_%28cropped%29.jpg/330px-%22Hidden_Figures%22_Screening_at_the_White_House_%28NHQ201612150008%29_%28cropped%29.jpg,"Octavia Lenora Spencer (born May 25, 1972)[1] is an American actress, author, and producer. She is the recipient of several accolades, including an Academy Award, a British Academy Film Award, and a Golden Globe Award. She is one of two black actresses to have received three Academy Award nominations, alongside Viola Davis.[2]"
484,William Makepeace Thackeray,1811-07-18,Calcutta,upload.wikimedia.org/wikipedia/commons/thumb/b/bf/William_Makepeace_Thackeray_by_Jesse_Harrison_Whitehurst-crop.jpg/330px-William_Makepeace_Thackeray_by_Jesse_Harrison_Whitehurst-crop.jpg,"William Makepeace Thackeray (/ˈθækəri/; 18 July 1811 – 24 December 1863) was a British novelist and author. He is known for his satirical works, particularly Vanity Fair, a panoramic portrait of English society."
485,Millie Bobby Brown,2004-02-19,Marbella,upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Millie_Bobby_Brown_%2841915336280%29.jpg/330px-Millie_Bobby_Brown_%2841915336280%29.jpg,
486,Jacob Tremblay,2006-10-05,Vancouver,upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Jacob_Tremblay_%2822859198313%29_%28cropped%29.jpg/330px-Jacob_Tremblay_%2822859198313%29_%28cropped%29.jpg,"Jacob Tremblay (/ˈtrɒmbleɪ/; French: [tʁɑ̃blɛ]; born October 5, 2006) is a Canadian child actor. His breakout performance was his starring role as Jack Newsome in Room (2015), for which he won the Critics' Choice Movie Award for Best Young Performer and the Academy of Canadian Cinema and Television Award for Best Performance by an Actor in a Leading Role, and was nominated for the Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Supporting Role. In 2017, he starred as August Pullman, a child with Treacher Collins syndrome, in the drama Wonder."
487,Adam Driver,1983-11-19,"San Diego, California",upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Star_Wars-_The_Last_Jedi_Japan_Premiere_Red_Carpet-_Adam_Driver_%2827163437599%29_%28cropped%29.jpg/330px-Star_Wars-_The_Last_Jedi_Japan_Premiere_Red_Carpet-_Adam_Driver_%2827163437599%29_%28cropped%29.jpg,"Adam Douglas Driver (born November 19, 1983) is an American actor.[1][2] He rose to prominence in the supporting role of Adam Sackler in the HBO comedy-drama series Girls (2012–2017), for which he received three consecutive nominations for the Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series. He made his Broadway debut in Mrs. Warren's Profession in 2010. In 2011, he returned to Broadway in Man and Boy and made his feature film debut in J. Edgar."
488,Sam Dolnick,1983-11-19,"San Diego, California",upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Star_Wars-_The_Last_Jedi_Japan_Premiere_Red_Carpet-_Adam_Driver_%2827163437599%29_%28cropped%29.jpg/330px-Star_Wars-_The_Last_Jedi_Japan_Premiere_Red_Carpet-_Adam_Driver_%2827163437599%29_%28cropped%29.jpg,
489,Maia Morgenstern,1962-05-01,Bucharest,upload.wikimedia.org/wikipedia/commons/thumb/2/21/Maia_Morgenstern_01.jpg/330px-Maia_Morgenstern_01.jpg,"Born in Bucharest, in a Jewish family,[1] she graduated from the Film and Theatre Academy of Bucharest in 1985. She then played at  Teatrul Tineretului (Youth Theater) in Piatra Neamț until 1988, and at the Teatrul Evreiesc de Stat (State Jewish Theatre) in Bucharest 1988-1990. From 1990–1998 she was a member of the company of the National Theatre in Bucharest, and since 1998 of Teatrul Bulandra, also in Bucharest;[3] in addition, she continues to act at the Jewish State Theatre and other Bucharest theaters[1] and elsewhere in Romania.[3] Among her notable stage roles in recent years, in a Romanian-language production of The Blue Angel (Îngerul Albastru in Romanian) at Bucharest's Odeon Theater, in 2001-2 she played (to great critical acclaim) Lola Lola, the character made famous by Marlene Dietrich. At the same time, she was also playing the role of Kathleen Hogan in a Romanian-language production of Israel Horovitz's Park Your Car in Harvard Yard at the State Jewish Theater.[1]"
490,Susan McMartin,2016-04-22,Bruce Beresford,upload.wikimedia.org/wikipedia/en/8/8c/Mr._Church_poster.jpg,"Charlotte ""Charlie"" Brooks (Britt Robertson) lives with her single mother Marie Brooks (Natascha McElhone) in a small apartment in California. She is awakened to the sounds and smells of cooking in the kitchen, to find an African-American stranger preparing breakfast. When she tells her mother about this, she informs Charlotte that the man is Mr. Church (Eddie Murphy) and he will be their new cook. Charlie is initially distrustful of Mr. Church and urges her mother Marie to fire him. It is revealed that Mr. Church was hired by Richard Cannon, a wealthy entrepreneur who had an adulterous affair with Marie. When he died, he left provisions in his will that provided financial support for Marie while she suffered from terminal breast cancer. The provisions were slated to last for six months to match her diagnosed life expectancy. When Mr. Church informs her that he was guaranteed a lifetime salary to care for the family, Marie reneges and decides to keep Mr. Church as their cook. Charlie spends time with her best friend Poppy (Madison Wolfe) and her school boy crush Owen Baxter. She rides the bus to school with Eddie Larson (Christian Madsen), a man whose driver's license has been permanently revoked due to serving four years in prison for vehicular manslaughter."
491,Peter Benchley,1940-05-08,New York City,upload.wikimedia.org/wikipedia/en/thumb/4/42/Peter_Benchley.jpg/330px-Peter_Benchley.jpg,"Peter Bradford Benchley (May 8, 1940 – February 11, 2006) was an American author, screenwriter, and ocean activist. He is known for the bestselling novel Jaws and co-wrote its subsequent film adaptation with Carl Gottlieb. Several more of his works were also adapted for both cinema and television, including The Deep, The Island, Beast, and White Shark."
492,Juan José Campanella,1959-07-19,Buenos Aires,,"Campanella was born in Buenos Aires, Argentina. He started studying engineering, but dropped out in 1980 after four years at university. He would later remark that the decisive factor for this decision was watching All That Jazz on the very day he was going to apply for a fifth year. His debut as director was in 1979, with the short Prioridad nacional. Campanella traveled to the United States and entered the Tisch School of the Arts. Four years later, in 1984, his second film, Victoria 392, which marked the first of five collaborations with actor friend Eduardo Blanco, as well as his first collaboration with screenwriter Fernando Castets, with whom he co-directed and co-wrote the film."
493,Raj Singh Chaudhary,,,,"Raj Singh Chaudhary is an Indian actor, screenwriter and model best known for his lead role in the 2009 Hindi-language film, Gulaal. He has appeared in various other films such as Kuch Naa Kaho and Black Friday and as a lead in Antardwand (2010).[1]"
494,Wilford Brimley,,,,"Anthony Wilford Brimley (born September 27, 1934)[1] is an American actor who has appeared in films and television series. After serving in the Marines and doing a variety of jobs including ranch hand and wrangler, Brimley became an extra for Westerns, and in little more than a decade he  had established himself as a character actor in films such as The China Syndrome (1979), The Thing (1982) and The Natural (1984). His trademark mustache, accent and brusque delivery made Brimley recognizable, but forthrightness on screen was on occasion matched by bluntness on set when his interpretation of a character was being faulted. Brimley's weather-beaten appearance enabled him to be convincing as someone decades older in the film Cocoon (1985)."
495,Anil Kapoor,1956-12-24,,upload.wikimedia.org/wikipedia/commons/thumb/0/04/Anil_Kapoor_still5.jpg/330px-Anil_Kapoor_still5.jpg,"Anil Kapoor (born 24 December 1956) is an Indian actor and producer who has appeared in over hundred Hindi-language films, as well as international films and television series.[1] His career has spanned almost 40 years as an actor, and as a producer since 2005. He has also won numerous awards in his career, including two National Film Awards and six Filmfare Awards in varied acting categories."
496,Neena Gupta,1959-07-04,,upload.wikimedia.org/wikipedia/commons/thumb/3/31/Neena_Gupta.jpg/330px-Neena_Gupta.jpg,"Neena Gupta (born 4 July 1959) is an Indian actress and television director. Known for her work in both art-house and commercial films, she won the National Film Award for Best Supporting Actress for playing a young widow in Woh Chokri (1994). In 2018, she gained wide recognition for starring as a middle-aged pregnant woman in the comedy-drama Badhaai Ho, for which she won the Filmfare Critics Award for Best Actress and received a nomination for the Filmfare Award for Best Actress.[3][4][5]"
497,Cate Blanchett,1969-05-14,"Ivanhoe, Victoria",upload.wikimedia.org/wikipedia/commons/thumb/4/43/Cate_Blanchett_SDCC_2014_%28cropped%29.jpg/330px-Cate_Blanchett_SDCC_2014_%28cropped%29.jpg,"Catherine Elise Blanchett, AC (/ˈblæntʃət/;[1][2] born 14 May 1969) is an Australian actress and theatre director. She has received many accolades, including two Academy Awards, three Golden Globe Awards, and three BAFTA Awards. Time named her one of the 100 most influential people in the world in 2007, and in 2018, she was ranked among the highest-paid actresses in the world."
